model,pred_target,feature_group,accuracy,f1
lr,super_class,node2vec,0.8240677636062701,0.5143648393689675
mlp,super_class,node2vec,0.8944601304644144,0.5951177090693512
lr,super_class,spectral,0.7621458475318859,0.344048397916176
mlp,super_class,spectral,0.8551260831467238,0.49171031051130276
lr,super_class,both,0.8428585337357609,0.5564930430883658
mlp,super_class,both,0.89903612111771,0.5855152940809821
lr,class,node2vec,0.8895868567286784,0.8137767054923948
mlp,class,node2vec,0.906740758637352,0.822530372199035
lr,class,spectral,0.7260207779656922,0.5284205796586526
mlp,class,spectral,0.893210920512201,0.7951451884022769
lr,class,both,0.902391882097125,0.8370380200330391
mlp,class,both,0.9144720947088669,0.8377057317545776
lr,hemilineage,node2vec,0.473279507881584,0.5322262717619386
mlp,hemilineage,node2vec,0.4798154555940023,0.5491886110406176
lr,hemilineage,spectral,0.29565551710880433,0.2686447682914981
mlp,hemilineage,spectral,0.41253364090734335,0.41454479496878177
lr,hemilineage,both,0.4928873510188389,0.5642588570714241
mlp,hemilineage,both,0.4940407535563245,0.5714712175323597
gcn,super_class,node2vec,0.8865695957641788,0.5478533875796471
gcn,super_class,spectral,0.8902352102637205,0.5828040844443834
gcn,super_class,both,0.8946135831381733,0.6168916697757763
gcn,class,node2vec,0.9010275824770146,0.8290454583492662
gcn,class,spectral,0.9215792320173066,0.8682177135960932
gcn,class,both,0.9021092482422931,0.8402857029909508
gcn,hemilineage,node2vec,0.5255670895809305,0.5678424251398494
gcn,hemilineage,spectral,0.5155709342560554,0.5657250922296514
gcn,hemilineage,both,0.5378700499807766,0.576407723142418
fp,super_class,node2vec,0.8986864881376642,0.6590923992414419
fp,super_class,spectral,0.8878932898890134,0.6223032368581373
fp,super_class,both,0.8963445677629569,0.6456519278403542
fp,class,node2vec,0.918334234721471,0.8608626898542173
fp,class,spectral,0.9056246619794484,0.8418285210304574
fp,class,both,0.918334234721471,0.8662688746231522
fp,hemilineage,node2vec,0.5705497885428681,0.6266213066482254
fp,hemilineage,spectral,0.5271049596309112,0.560684980044766
fp,hemilineage,both,0.5951557093425606,0.6608290652761553
